SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
dsa,5,t4,1,6,0,4,2,2,0,0,0,0,0,2,588200000,1228400,1146
dsa,_,"-""-",-,-,1,3,4,0,0,0,0,0,0,4,276000000,1228400,977
dsa,_,"-""-",-,-,2,4,2,2,0,0,0,0,0,2,379600000,1228400,1227
dsa,_,"-""-",-,-,3,3,0,0,0,0,0,0,0,0,253400000,1228400,937
dsa,_,"-""-",-,-,4,3,0,0,0,0,0,0,0,0,326400000,1228400,1047
dsa,_,"-""-",-,-,5,4,0,0,0,0,0,0,0,0,351600000,1228400,1105
dsa,6,t5,1,6,0,3,2,2,0,0,0,0,0,2,303000000,1541224,1139
dsa,_,"-""-",-,-,1,4,1,1,0,0,0,0,0,1,305000000,1541224,1055
dsa,_,"-""-",-,-,2,3,5,1,0,0,0,0,0,5,413000000,1541224,1377
dsa,_,"-""-",-,-,3,6,3,2,0,0,0,0,0,3,718400000,1541224,2041
dsa,_,"-""-",-,-,4,6,4,3,0,0,0,0,0,4,726700000,1541224,1994
dsa,_,"-""-",-,-,5,3,5,1,0,0,0,0,0,5,544600000,1541224,1782
dsa,7,t6,1,5,0,6,10,15,0,0,0,0,0,10,904300000,1871984,2720
dsa,_,"-""-",-,-,1,6,8,17,0,0,0,0,0,8,1007200000,1871984,2723
dsa,_,"-""-",-,-,2,6,12,3,0,0,0,0,0,12,527500000,1871984,1478
dsa,_,"-""-",-,-,3,4,6,1,0,0,0,0,0,6,654100000,1871984,1598
dsa,_,"-""-",-,-,4,6,0,0,0,0,0,0,0,0,495400000,1871984,1388
dsa,8,t7,1,3,0,6,10,15,0,0,0,0,0,10,837300000,1894552,2557
dsa,_,"-""-",-,-,1,6,20,13,0,0,0,0,0,20,1348500000,1894552,3429
dsa,_,"-""-",-,-,2,4,21,5,0,0,0,0,0,21,1272800000,1894552,3176
dsa,9,t8,1,6,0,3,0,0,0,0,0,0,0,0,123800000,1871672,524
dsa,_,"-""-",-,-,1,4,0,0,0,0,0,0,0,0,454600000,1871672,883
dsa,_,"-""-",-,-,2,5,2,0,0,0,0,0,0,2,251600000,1871672,824
dsa,_,"-""-",-,-,3,3,0,0,0,0,0,0,0,0,210800000,1871672,726
